type,week,n measures,measure
minimum,03.02.2025 - 09.02.2025,11,"['normalized_AINI_w0', 'simple_AINI_w0', 'EMA_02_w0', 'EMA_08_w0', 'normalized_AINI_w2', 'simple_AINI_w2', 'EMA_02_w2', 'EMA_08_w2', 'simple_AINI_custom', 'EMA_02_custom', 'EMA_08_custom']"
minimum,10.04.2023 - 16.04.2023,1,['normalized_AINI_w1']
minimum,10.07.2023 - 16.07.2023,1,['normalized_AINI_custom']
minimum,07.08.2023 - 13.08.2023,1,['EMA_02_w1']
minimum,16.10.2023 - 22.10.2023,1,['EMA_08_w1']
minimum,18.11.2024 - 24.11.2024,1,['simple_AINI_w1']
maximum,16.06.2025 - 22.06.2025,6,"['normalized_AINI_w1', 'EMA_02_w1', 'EMA_08_w1', 'normalized_AINI_w2', 'EMA_02_w2', 'EMA_08_w2']"
maximum,27.03.2023 - 02.04.2023,4,"['normalized_AINI_custom', 'simple_AINI_custom', 'EMA_02_custom', 'EMA_08_custom']"
maximum,17.06.2024 - 23.06.2024,3,"['normalized_AINI_w0', 'EMA_02_w0', 'EMA_08_w0']"
maximum,10.02.2025 - 16.02.2025,3,"['simple_AINI_w0', 'simple_AINI_w1', 'simple_AINI_w2']"
